User_ID,Product_ID,Purchase,orig
1000001,P00069042,11544,8370
1000001,P00248942,20688,15200
1000001,P00087842,25,1422
1000001,P00085442,991,1057
1000002,P00285442,7523,7969
1000003,P00193542,14343,15227
1000004,P00184942,17714,19215
1000004,P00346142,10852,15854
1000004,P0097242,13621,15686
1000005,P00274942,6554,7871
1000005,P00251242,3562,5254
1000005,P00014542,7199,3957
1000005,P00031342,7467,6073
1000005,P00145042,8725,15665
1000006,P00231342,6317,5378
1000006,P00190242,2522,2079
1000006,P0096642,10698,13055
1000006,P00058442,6860,8851
1000007,P00036842,17023,11788
1000008,P00249542,13318,19614
1000008,P00220442,7049,8584
1000008,P00156442,8008,9872
1000008,P00213742,8228,9743
1000008,P00214442,7867,5982
1000008,P00303442,14192,11927
1000009,P00135742,15682,16662
1000009,P00039942,7522,5887
1000009,P00161442,4737,6973
1000009,P00078742,5785,5391
1000010,P00085942,15901,16352
1000010,P00118742,7431,8886
1000010,P00297942,7912,5875
1000010,P00266842,6780,8854
1000010,P00058342,10969,10946
1000010,P00032442,6771,5152
1000010,P00105942,6518,7089
1000010,P00182642,12947,12909
1000010,P00186942,6859,8770
1000010,P00155442,12881,15212
1000010,P00221342,15484,15705
1000010,P00087242,15732,7947
1000010,P00111142,16899,18963
1000010,P00259342,7668,8718
1000010,P0094542,9191,16406
1000010,P00148642,19653,12642
1000010,P00312142,7737,10007
1000010,P00113242,14939,11562
1000011,P00192642,7928,6171
1000011,P00110842,13940,19327
1000011,P00189642,7288,8027
1000012,P00304242,15875,15246
1000012,P00365242,6572,6865
1000013,P00129542,7339,5839
1000013,P00140742,14056,15912
1000013,P00182342,11488,12107
1000014,P00276642,6744,5848
1000015,P00334242,16491,19653
1000015,P00247542,6851,5958
1000015,P00338442,13553,11415
1000015,P00275142,4935,5380
1000015,P00333042,5885,3594
1000015,P00166242,6768,4209
1000015,P00161942,6125,5407
1000015,P00348242,6799,7803
1000015,P00042142,10483,11458
1000016,P00244242,4899,11755
1000016,P00217742,4171,8702
1000017,P00019342,14407,15872
1000017,P00100642,8974,8609
1000017,P00073842,15708,15172
1000018,P00366542,8038,1780
1000018,P00190742,11625,10754
1000018,P00151842,3765,2802
1000018,P00112642,14292,19473
1000018,P00118442,14158,19672
1000018,P00034442,13173,19313
1000018,P00222242,12993,15182
1000018,P00118342,14721,15985
1000018,P00324742,14293,16454
1000018,P00190042,11553,13551
1000018,P0094142,1507,697
1000018,P00138542,6963,7030
1000018,P00158542,8187,5430
1000018,P00157542,6731,8011
1000018,P00044142,4198,5912
1000019,P00112542,15225,7746
1000019,P00339542,16953,19525
1000019,P00127842,13296,11959
1000019,P00125942,13308,19172
1000019,P00251342,7396,8773
1000019,P00249642,10199,11023
1000019,P00124842,5661,4654
1000019,P00250642,4939,4664
1000019,P00058142,9372,8290
1000019,P00117442,7781,7011
1000019,P00251642,10096,4211
1000019,P00244842,5397,1539
1000021,P00220242,7625,3055
1000022,P00351142,13948,12099
1000022,P00213242,6857,8797
1000022,P00195942,8750,10681
1000022,P00115642,7382,7801
1000022,P0098242,10191,15517
1000022,P00262242,10759,12098
1000022,P00258742,6245,6976
1000022,P00218242,5409,5384
1000022,P00021742,5244,6973
1000022,P00313042,4639,5168
1000022,P00133742,4384,3449
1000022,P00077042,2973,7177
1000022,P00280542,4632,4570
1000022,P00225842,6208,9564
1000023,P00278942,16618,15766
1000023,P00004742,13328,8481
1000023,P00198042,4854,6108
1000023,P00177442,14153,15354
1000023,P00000642,14406,12015
1000023,P00288942,14828,15371
1000023,P00270942,14658,19239
